Meeting Year,Meeting Month,Meeting Day,Meeting Hour,Meeting Minute,Meeting Second,RX Node,TX Node,RSSI,Received Year,Received Month,Received Day,Received Hour,Received Minute,Received Second,Received RSSI,
2023,11,10,12,25,22,42,69,-24,2023,11,10,13,29,8,-63,
2023,11,10,12,25,24,42,73,-26,2023,11,10,13,29,8,-63,
2023,11,10,12,25,24,42,69,-24,2023,11,10,13,29,8,-63,
2023,11,10,12,25,26,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,26,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,28,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,28,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,30,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,30,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,32,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,32,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,34,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,34,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,36,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,36,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,38,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,38,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,40,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,40,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,42,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,42,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,44,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,44,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,46,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,46,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,48,42,73,-28,2023,11,10,13,29,8,-63,
2023,11,10,12,25,48,42,69,-22,2023,11,10,13,29,8,-63,
2023,11,10,12,25,50,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,25,52,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,25,52,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,25,54,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,25,54,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,25,56,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,25,56,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,25,58,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,25,58,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,0,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,0,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,0,42,35,-54,2023,11,10,13,29,15,-62,
2023,11,10,12,26,2,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,2,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,2,42,35,-52,2023,11,10,13,29,15,-62,
2023,11,10,12,26,4,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,4,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,4,42,35,-54,2023,11,10,13,29,15,-62,
2023,11,10,12,26,6,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,6,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,8,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,8,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,8,42,35,-50,2023,11,10,13,29,15,-62,
2023,11,10,12,26,10,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,10,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,12,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,12,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,12,42,35,-30,2023,11,10,13,29,15,-62,
2023,11,10,12,26,14,42,73,-30,2023,11,10,13,29,15,-62,
2023,11,10,12,26,14,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,14,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,16,42,73,-28,2023,11,10,13,29,15,-62,
2023,11,10,12,26,16,42,69,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,16,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,18,42,73,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,18,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,18,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,20,42,73,-26,2023,11,10,13,29,15,-62,
2023,11,10,12,26,20,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,20,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,22,42,73,-26,2023,11,10,13,29,15,-62,
2023,11,10,12,26,22,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,22,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,24,42,73,-26,2023,11,10,13,29,15,-62,
2023,11,10,12,26,24,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,24,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,26,42,73,-26,2023,11,10,13,29,15,-62,
2023,11,10,12,26,26,42,69,-24,2023,11,10,13,29,15,-62,
2023,11,10,12,26,26,42,35,-22,2023,11,10,13,29,15,-62,
2023,11,10,12,26,28,42,73,-26,2023,11,10,13,29,15,-62,
2023,11,10,12,26,28,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,30,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,30,42,69,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,30,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,32,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,32,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,32,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,34,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,34,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,34,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,36,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,36,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,36,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,38,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,38,42,69,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,38,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,40,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,40,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,40,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,42,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,42,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,42,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,44,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,44,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,44,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,46,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,46,42,86,-62,2023,11,10,13,29,22,-62,
2023,11,10,12,26,46,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,46,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,48,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,48,42,86,-62,2023,11,10,13,29,22,-62,
2023,11,10,12,26,48,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,48,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,50,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,50,42,86,-60,2023,11,10,13,29,22,-62,
2023,11,10,12,26,50,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,50,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,52,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,52,42,86,-62,2023,11,10,13,29,22,-62,
2023,11,10,12,26,52,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,52,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,54,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,54,42,86,-64,2023,11,10,13,29,22,-62,
2023,11,10,12,26,54,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,54,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,56,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,56,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,26,56,42,35,-22,2023,11,10,13,29,22,-62,
2023,11,10,12,26,58,42,73,-26,2023,11,10,13,29,22,-62,
2023,11,10,12,26,58,42,69,-24,2023,11,10,13,29,22,-62,
2023,11,10,12,27,0,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,0,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,0,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,2,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,2,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,2,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,4,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,4,42,86,-52,2023,11,10,13,29,29,-62,
2023,11,10,12,27,4,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,4,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,6,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,6,42,86,-56,2023,11,10,13,29,29,-62,
2023,11,10,12,27,6,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,8,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,8,42,86,-48,2023,11,10,13,29,29,-62,
2023,11,10,12,27,8,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,10,42,73,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,10,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,10,42,35,-18,2023,11,10,13,29,29,-62,
2023,11,10,12,27,12,42,73,-30,2023,11,10,13,29,29,-62,
2023,11,10,12,27,12,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,12,42,35,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,14,42,73,-32,2023,11,10,13,29,29,-62,
2023,11,10,12,27,14,42,69,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,14,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,16,42,73,-30,2023,11,10,13,29,29,-62,
2023,11,10,12,27,16,42,69,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,16,42,86,-16,2023,11,10,13,29,29,-62,
2023,11,10,12,27,16,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,18,42,73,-28,2023,11,10,13,29,29,-62,
2023,11,10,12,27,18,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,18,42,86,-16,2023,11,10,13,29,29,-62,
2023,11,10,12,27,18,42,35,-20,2023,11,10,13,29,29,-62,
2023,11,10,12,27,20,42,73,-30,2023,11,10,13,29,29,-62,
2023,11,10,12,27,20,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,20,42,86,-16,2023,11,10,13,29,29,-62,
2023,11,10,12,27,20,42,35,-20,2023,11,10,13,29,29,-62,
2023,11,10,12,27,22,42,73,-28,2023,11,10,13,29,29,-62,
2023,11,10,12,27,22,42,69,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,22,42,86,-16,2023,11,10,13,29,29,-62,
2023,11,10,12,27,22,42,35,-22,2023,11,10,13,29,29,-62,
2023,11,10,12,27,24,42,73,-32,2023,11,10,13,29,29,-62,
2023,11,10,12,27,24,42,69,-26,2023,11,10,13,29,29,-62,
2023,11,10,12,27,24,42,86,-16,2023,11,10,13,29,29,-62,
2023,11,10,12,27,24,42,35,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,26,42,73,-30,2023,11,10,13,29,29,-62,
2023,11,10,12,27,26,42,69,-28,2023,11,10,13,29,29,-62,
2023,11,10,12,27,26,42,86,-14,2023,11,10,13,29,29,-62,
2023,11,10,12,27,26,42,35,-24,2023,11,10,13,29,29,-62,
2023,11,10,12,27,28,42,73,-32,2023,11,10,13,29,29,-62,
2023,11,10,12,27,28,42,86,-18,2023,11,10,13,29,57,-63,
2023,11,10,12,27,28,42,35,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,30,42,73,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,30,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,30,42,86,-18,2023,11,10,13,29,57,-63,
2023,11,10,12,27,30,42,35,-30,2023,11,10,13,29,57,-63,
2023,11,10,12,27,32,42,73,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,32,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,32,42,86,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,32,42,35,-30,2023,11,10,13,29,57,-63,
2023,11,10,12,27,34,42,73,-38,2023,11,10,13,29,57,-63,
2023,11,10,12,27,34,42,69,-18,2023,11,10,13,29,57,-63,
2023,11,10,12,27,34,42,86,-20,2023,11,10,13,29,57,-63,
2023,11,10,12,27,34,42,35,-36,2023,11,10,13,29,57,-63,
2023,11,10,12,27,36,42,73,-34,2023,11,10,13,29,57,-63,
2023,11,10,12,27,36,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,36,42,86,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,36,42,35,-54,2023,11,10,13,29,57,-63,
2023,11,10,12,27,38,42,73,-24,2023,11,10,13,29,57,-63,
2023,11,10,12,27,38,42,69,-20,2023,11,10,13,29,57,-63,
2023,11,10,12,27,38,42,86,-20,2023,11,10,13,29,57,-63,
2023,11,10,12,27,38,42,35,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,40,42,73,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,40,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,40,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,40,42,35,-34,2023,11,10,13,29,57,-63,
2023,11,10,12,27,42,42,73,-24,2023,11,10,13,29,57,-63,
2023,11,10,12,27,42,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,42,42,86,-20,2023,11,10,13,29,57,-63,
2023,11,10,12,27,42,42,35,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,44,42,73,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,44,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,44,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,44,42,35,-20,2023,11,10,13,29,57,-63,
2023,11,10,12,27,46,42,73,-28,2023,11,10,13,29,57,-63,
2023,11,10,12,27,46,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,46,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,46,42,35,-18,2023,11,10,13,29,57,-63,
2023,11,10,12,27,48,42,73,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,48,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,48,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,48,42,35,-24,2023,11,10,13,29,57,-63,
2023,11,10,12,27,50,42,73,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,50,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,50,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,50,42,35,-24,2023,11,10,13,29,57,-63,
2023,11,10,12,27,52,42,73,-26,2023,11,10,13,29,57,-63,
2023,11,10,12,27,52,42,69,-22,2023,11,10,13,29,57,-63,
2023,11,10,12,27,52,42,86,-16,2023,11,10,13,29,57,-63,
2023,11,10,12,27,52,42,35,-24,2023,11,10,13,29,57,-63,
2023,11,10,12,27,54,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,27,54,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,27,54,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,27,56,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,27,56,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,27,56,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,27,56,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,27,58,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,27,58,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,27,58,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,27,58,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,0,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,0,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,0,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,0,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,2,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,2,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,2,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,2,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,4,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,4,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,4,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,4,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,6,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,6,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,6,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,6,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,8,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,8,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,8,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,8,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,10,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,10,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,10,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,10,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,12,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,12,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,12,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,12,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,14,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,14,42,69,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,14,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,14,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,16,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,16,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,16,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,16,42,35,-24,2023,11,10,13,30,21,-63,
2023,11,10,12,28,18,42,73,-26,2023,11,10,13,30,21,-63,
2023,11,10,12,28,18,42,69,-22,2023,11,10,13,30,21,-63,
2023,11,10,12,28,18,42,86,-16,2023,11,10,13,30,21,-63,
2023,11,10,12,28,20,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,20,42,69,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,20,42,86,-16,2023,11,10,13,30,33,-63,
2023,11,10,12,28,20,42,35,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,22,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,22,42,69,-22,2023,11,10,13,30,33,-63,
2023,11,10,12,28,22,42,86,-16,2023,11,10,13,30,33,-63,
2023,11,10,12,28,22,42,35,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,24,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,24,42,69,-22,2023,11,10,13,30,33,-63,
2023,11,10,12,28,24,42,86,-16,2023,11,10,13,30,33,-63,
2023,11,10,12,28,24,42,35,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,26,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,26,42,69,-22,2023,11,10,13,30,33,-63,
2023,11,10,12,28,26,42,86,-16,2023,11,10,13,30,33,-63,
2023,11,10,12,28,26,42,35,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,28,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,28,42,69,-22,2023,11,10,13,30,33,-63,
2023,11,10,12,28,28,42,86,-16,2023,11,10,13,30,33,-63,
2023,11,10,12,28,28,42,35,-24,2023,11,10,13,30,33,-63,
2023,11,10,12,28,30,42,73,-26,2023,11,10,13,30,33,-63,
2023,11,10,12,28,30,42,69,-22,2023,11,10,13,30,33,-63,
2023,11,10,12,28,30,42,86,-16,2023,11,10,13,30,33,-63,
